user_id,first_name,last_name,email,phone,password,dob,country
1,Justine,Langosh,Marlene95@yahoo.com,606-488-8592 x0982,6aiKwwhTbYjvgLuXJB2P,Wed Jan 31 1968 16:32:20 GMT+0100 (West Africa Standard Time),Nicaragua
2,Cesar,Ernser,Patsy88@hotmail.com,209-508-6093 x1068,xzHi44eOkSBCnRiQGE4L,Thu Nov 26 1964 14:16:01 GMT+0100 (West Africa Standard Time),Guatemala
3,Gina,Wyman,Guido_Jast69@gmail.com,1-477-422-6986 x1480,yozb3gYP7h8TxrauNGCT,Sat Oct 23 1954 02:54:15 GMT+0100 (West Africa Standard Time),Sierra Leone
4,Berneice,Kuhic,Marie.Lowe@gmail.com,761-637-9957,j8bQ2aLMV3RF2wLWbsy4,Thu Sep 22 1960 19:00:41 GMT+0100 (West Africa Standard Time),Svalbard & Jan Mayen Islands
5,Jaqueline,Witting,April_Jaskolski52@yahoo.com,1-550-893-1566,k3JS1DSodrYgYiLHAQp8,Fri Sep 02 1977 15:36:03 GMT+0100 (West Africa Standard Time),Martinique
6,Pete,Gerlach,Andres.Gerlach@yahoo.com,(771) 678-6236 x31702,fZrdWA8Ev5pP3jZVGHEB,Wed Oct 21 1959 23:25:39 GMT+0100 (West Africa Standard Time),Saint Pierre and Miquelon
7,Caitlyn,Erdman,Horace.Raynor80@gmail.com,802-669-9462 x762,XR2lUFm99tCXxDz0geaD,Thu Sep 15 2005 09:46:42 GMT+0100 (West Africa Standard Time),Puerto Rico
8,Emery,Feeney,America43@yahoo.com,1-815-470-5189 x554,5G2jnDmJkW1QtOrEVVYb,Sat Jun 29 1985 21:50:18 GMT+0100 (West Africa Standard Time),Greece
9,Ron,Harris,Cynthia.Zemlak25@hotmail.com,1-511-905-4520 x511,r51i1jQbE6B7f5D87N4g,Sat Apr 10 1954 15:20:11 GMT+0100 (West Africa Standard Time),Martinique
10,Tristian,Orn,Letitia.Wiegand48@gmail.com,(314) 662-1993 x17840,VhRMgB1EHqMgzs0bCYrL,Tue Jun 17 1986 07:11:30 GMT+0100 (West Africa Standard Time),Sierra Leone
